title,rating,link,category,image,img_url,scrap_time,price,gender,full_link
Matrix Kids Edition 3D Cartoon Analog Watch with Lights | 3D Cartoon Character On Strap | for Kids,4.0,/Matrix-Cartoon-Analog-Character-LightPink/dp/B0DP9MGDLC/ref=zg_bs_g_watches_d_sccl_9/260-0503704-7953655?psc=1,Watches,yes,"https://images-eu.ssl-images-amazon.com/images/I/71j4XCqQHDL._AC_UL600_SR600,400_.jpg",2025-11-18 17:56:36,255.0,Kids,https://www.amazon.in/Matrix-Cartoon-Analog-Character-LightPink/dp/B0DP9MGDLC/ref=zg_bs_g_watches_d_sccl_9/260-0503704-7953655?psc=1
"Graphene Colorful Double-Sided Flash Cards, Rechargeable Montessori Educational Cards, Interactive Learning Toys for Kids,224 Words Develop Language Skills Best Gift for Boy Girl",4.2,/GRAPHENE%C2%AE-Electronic-Montessori-preshcool-Educational/dp/B0B782Z8DM/ref=zg_bs_g_toys_d_sccl_15/260-0503704-7953655?psc=1,Toys,yes,"https://images-eu.ssl-images-amazon.com/images/I/61M8LtE+TSL._AC_UL600_SR600,400_.jpg",2025-11-18 17:56:36,277.0,Kids,https://www.amazon.in/GRAPHENE%C2%AE-Electronic-Montessori-preshcool-Educational/dp/B0B782Z8DM/ref=zg_bs_g_toys_d_sccl_15/260-0503704-7953655?psc=1
"Wirescorts Angle Geometric Plastic Blocks, Sorting & Stacking Toys for Toddlers and Kids Preschool, Color Stacker Shape Sorter Gift Educational Learning Toy for 1 2 3 Years Boys and Girls, Multicolor",4.2,/WireScorts-Geometric-Preschool-Educational-Multicolor/dp/B0CFGB45S2/ref=zg_bs_g_toys_d_sccl_13/260-0503704-7953655?psc=1,Toys,yes,"https://images-eu.ssl-images-amazon.com/images/I/715UU7NFmaL._AC_UL600_SR600,400_.jpg",2025-11-18 17:56:36,149.0,Kids,https://www.amazon.in/WireScorts-Geometric-Preschool-Educational-Multicolor/dp/B0CFGB45S2/ref=zg_bs_g_toys_d_sccl_13/260-0503704-7953655?psc=1
"Gooyo GY-2020 Battery Operated Voice Control Monkey Toy with Musical, Dancing, Spinning,Rolling and Sensor Feature for Gifts/Kids/Babies/Boys/Girls|Blue Color, Power Source:3xAAA Battery(Not Included)",3.8,/Gooyo-GY-2020-Battery-Operated-Spinning/dp/B0C77VNZ5D/ref=zg_bs_g_toys_d_sccl_12/260-0503704-7953655?psc=1,Toys,yes,"https://images-eu.ssl-images-amazon.com/images/I/61arOQAds9L._AC_UL600_SR600,400_.jpg",2025-11-18 17:56:36,196.0,Kids,https://www.amazon.in/Gooyo-GY-2020-Battery-Operated-Spinning/dp/B0C77VNZ5D/ref=zg_bs_g_toys_d_sccl_12/260-0503704-7953655?psc=1
"DearJoy Big Size Fibre Filled Stuffed Animal Elephant Soft Toy for Kids of Plush Hugging Soft Toy for Kids boy Girl Birthday Gift (60 cm, Grey Color, 1 Year Above)",4.3,/DearJoy-Baby-Elephant-Pillow-Grey/dp/B075VTNC7X/ref=zg_bs_g_toys_d_sccl_11/260-0503704-7953655?psc=1,Toys,yes,"https://images-eu.ssl-images-amazon.com/images/I/81S00b+-XML._AC_UL600_SR600,400_.jpg",2025-11-18 17:56:36,590.0,Kids,https://www.amazon.in/DearJoy-Baby-Elephant-Pillow-Grey/dp/B075VTNC7X/ref=zg_bs_g_toys_d_sccl_11/260-0503704-7953655?psc=1
ToyTastic Strong Suction Cup Fidget Rotating Sensory Bath Toys for Baby 6 12 18 Months Airplane Car Travel Table & Window Toys for 1 2 Years Old Toddler Boys and Girls,4.3,/ToyTastic-Suction-Rotating-Sensory-Airplane/dp/B0FKNGWHFN/ref=zg_bs_g_toys_d_sccl_10/260-0503704-7953655?psc=1,Toys,yes,"https://images-eu.ssl-images-amazon.com/images/I/61THM73i4KL._AC_UL600_SR600,400_.jpg",2025-11-18 17:56:36,199.0,Kids,https://www.amazon.in/ToyTastic-Suction-Rotating-Sensory-Airplane/dp/B0FKNGWHFN/ref=zg_bs_g_toys_d_sccl_10/260-0503704-7953655?psc=1
Amazon Brand - Jam & Honey Makeup Set for Girls | Lightweight Portable Plastic Suitcase Kit | Ideal for 3+ Years Kids | Non-Toxic | Kid-Friendly | Pink & Blue,4.0,/Amazon-Brand-Suitcase-Makeup-Multicolor/dp/B0B5VJDSKG/ref=zg_bs_g_toys_d_sccl_1/260-0503704-7953655?psc=1,Toys,yes,"https://images-eu.ssl-images-amazon.com/images/I/81TBL2l+DmL._AC_UL600_SR600,400_.jpg",2025-11-18 17:56:36,359.0,Kids,https://www.amazon.in/Amazon-Brand-Suitcase-Makeup-Multicolor/dp/B0B5VJDSKG/ref=zg_bs_g_toys_d_sccl_1/260-0503704-7953655?psc=1
"popsugar Off Roader Rechargeable Remote Control Car | Monster Truck with 4 Headlight Modes | Lithium Battery | C-Type Charging | Remote Control Car for Kids | Made in India, Black Mat",4.1,/Popsugar-Rechargeable-Control-Headlight-Charging/dp/B0CQJRQWHN/ref=zg_bs_g_toys_d_sccl_9/260-0503704-7953655?psc=1,Toys,yes,"https://images-eu.ssl-images-amazon.com/images/I/717pTcRrigL._AC_UL600_SR600,400_.jpg",2025-11-18 17:56:36,1199.0,Kids,https://www.amazon.in/Popsugar-Rechargeable-Control-Headlight-Charging/dp/B0CQJRQWHN/ref=zg_bs_g_toys_d_sccl_9/260-0503704-7953655?psc=1
FEXME Wooden Intelligence Puzzle – Colorful Tetris‑Style Blocks on a Smooth Wooden Board (Hexagon),4.7,/FEXME-Wooden-Intelligence-Puzzle-Tetris%E2%80%91Style/dp/B0FCXKX986/ref=zg_bs_g_toys_d_sccl_8/260-0503704-7953655?psc=1,Toys,yes,"https://images-eu.ssl-images-amazon.com/images/I/61CK7y2ZvJL._AC_UL600_SR600,400_.jpg",2025-11-18 17:56:36,281.0,Unisex,https://www.amazon.in/FEXME-Wooden-Intelligence-Puzzle-Tetris%E2%80%91Style/dp/B0FCXKX986/ref=zg_bs_g_toys_d_sccl_8/260-0503704-7953655?psc=1
"Mattel Uno Playing Card Game for 7 Yrs and Above for Adult,Set of 112 Cards, Multicolor",4.5,/Mattel-Playing-Above-Adult-Multicolor/dp/B00004TZY8/ref=zg_bs_g_toys_d_sccl_7/260-0503704-7953655?psc=1,Toys,yes,"https://images-eu.ssl-images-amazon.com/images/I/81P3ftjeDUL._AC_UL600_SR600,400_.jpg",2025-11-18 17:56:36,127.0,Unisex,https://www.amazon.in/Mattel-Playing-Above-Adult-Multicolor/dp/B00004TZY8/ref=zg_bs_g_toys_d_sccl_7/260-0503704-7953655?psc=1
